team,phase1,phase2,phase3,phase4,phase5,phase6,phase7,phase8,phase9,total_kill
DXG,0.0316,0.0316,0.4316,0.5474,0.4211,0.7368000000000001,0.3368,0.2316,0.32630000000000003,95
QC,0.2917,0.1771,0.11460000000000001,0.4792,0.8229000000000001,0.0417,0.2708,0.30210000000000004,0.0,96
BRU,0.1059,0.0471,0.4235,0.4118,0.5529,0.4,0.2235,0.1765,0.2824,85
AAP,0.4235,0.34119999999999995,0.1059,0.6235,0.8588,0.15289999999999998,0.2588,0.24710000000000001,0.24710000000000001,85
MiTH,0.21350000000000002,0.1573,0.08990000000000001,0.3034,0.7303000000000001,0.5618,0.3146,0.191,0.6966,89
GC,0.1375,0.2125,0.3,0.9,0.3625,0.5375,0.2875,0.1625,0.15,80
DIC,0.3488,0.11630000000000001,0.24420000000000003,0.46509999999999996,0.8604999999999999,0.3488,0.0698,0.3023,0.0349,86
DV,0.1408,0.0704,0.042300000000000004,0.1268,0.6761,0.18309999999999998,0.5493,0.2676,0.16899999999999998,71
PNG,0.18460000000000001,0.07690000000000001,0.27690000000000003,0.2462,0.6308,0.49229999999999996,0.21539999999999998,0.18460000000000001,0.6923,65
FURY,0.16899999999999998,0.3239,0.36619999999999997,0.5211,0.9155,0.3521,0.2113,0.1972,0.0,71
VTF,0.5294,0.2059,0.3971,0.5588000000000001,0.3235,0.4853,0.25,0.1765,0.0588,68
CES,0.2727,0.2,0.2727,0.6,0.7454999999999999,0.4364,0.2,0.1818,0.0182,55
ATH,0.2754,0.2754,0.2754,0.7826000000000001,0.6812,0.43479999999999996,0.23190000000000002,0.0,0.1449,69
DAY,0.6296,0.3148,0.6296,0.8704000000000001,0.22219999999999998,0.12960000000000002,0.22219999999999998,0.037000000000000005,0.1852,54
FRX,0.0,0.14550000000000002,0.3455,0.6727,0.9636,0.1636,0.1091,0.2182,0.4364,55
CRE,0.1471,0.1765,0.3824,0.6175999999999999,0.6175999999999999,0.0882,0.0294,0.0294,0.1471,34
